Process_ID,Process_Name,Department,Process_Category,Manual_Steps (count),Total_Time (minutes),Manual_Time (minutes),System_Used,Process_Owner,Frequency,Optimization_Potential (score),Last_Review_Date
76,Inventory Reconciliation,Marketing,Manual,9,135,115,HubSpot,Frank,Weekly,7,2023-03-17
77,Quality Check,Procurement,Automated,10,150,45,Salesforce,Grace,Monthly,8,2023-03-18
78,Procurement,Quality,Hybrid,11,165,99,Zoho,Heidi,Quarterly,9,2023-03-19
79,HR Recruitment,Customer Service,Manual,12,180,153,QuickBooks,Ivan,Daily,10,2023-03-20
80,IT Ticket Resolution,Admin,Automated,3,195,59,Microsoft Dynamics,Judy,Weekly,1,2023-03-21
81,Invoice Processing,Finance,Hybrid,4,60,36,HubSpot,Alice,Monthly,2,2023-03-22
82,Order Fulfillment,Operations,Manual,5,75,64,Salesforce,Bob,Weekly,3,2023-03-23
83,Customer Onboarding,HR,Automated,6,90,27,Zoho,Charlie,Monthly,4,2023-03-24
84,Expense Approval,IT,Hybrid,7,105,63,QuickBooks,Diana,Quarterly,5,2023-03-25
85,Payroll Processing,Sales,Manual,8,120,102,Microsoft Dynamics,Eve,Daily,6,2023-03-26
86,Inventory Reconciliation,Marketing,Automated,9,135,41,HubSpot,Frank,Weekly,7,2023-03-27
87,Quality Check,Procurement,Hybrid,10,150,90,Salesforce,Grace,Monthly,8,2023-03-28
88,Procurement,Quality,Manual,11,165,140,Zoho,Heidi,Quarterly,9,2023-03-29
89,HR Recruitment,Customer Service,Automated,12,180,54,QuickBooks,Ivan,Daily,10,2023-03-30
90,IT Ticket Resolution,Admin,Hybrid,3,195,117,Microsoft Dynamics,Judy,Weekly,1,2023-03-31
91,Invoice Processing,Finance,Manual,4,60,51,HubSpot,Alice,Monthly,2,2023-04-01
92,Order Fulfillment,Operations,Automated,5,75,22,Salesforce,Bob,Weekly,3,2023-04-02
93,Customer Onboarding,HR,Hybrid,6,90,54,Zoho,Charlie,Monthly,4,2023-04-03
94,Expense Approval,IT,Manual,7,105,89,QuickBooks,Diana,Quarterly,5,2023-04-04
95,Payroll Processing,Sales,Automated,8,120,36,Microsoft Dynamics,Eve,Daily,6,2023-04-05
96,Inventory Reconciliation,Marketing,Hybrid,9,135,81,HubSpot,Frank,Weekly,7,2023-04-06
97,Quality Check,Procurement,Manual,10,150,128,Salesforce,Grace,Monthly,8,2023-04-07
98,Procurement,Quality,Automated,11,165,50,Zoho,Heidi,Quarterly,9,2023-04-08
99,HR Recruitment,Customer Service,Hybrid,12,180,108,QuickBooks,Ivan,Daily,10,2023-04-09
100,IT Ticket Resolution,Admin,Manual,3,195,166,Microsoft Dynamics,Judy,Weekly,1,2023-04-10
