Lead_ID,ContactDate,Age,Gender,Income,Occupation,Neighborhood,HomeOwnerStatus,ServiceRequested,BudgetRange,MarketingChannel,LeadSource,ResponseTime,FollowUpCount,SatisfactionScore,Conversion,ServiceDuration,ServiceRating,DeviceUsed,PromotionApplied,DiscountAmount
1033,2023-03-29,36,Male,62000,Professional,North York,Owner,Plumbing,$500-$1000,Email,Organic,19,2,8,Yes,6,4,Mobile,Yes,100
1034,2023-04-01,48,Female,79000,Skilled,Etobicoke,Renter,Electrical,$1000-$2000,Phone,Partner,21,3,9,Yes,7,5,Desktop,No,0
1035,2023-04-03,52,Male,85000,Professional,Downtown,Owner,HVAC,$1000-$2000,Social Media,Referral,16,1,8,Yes,5,4,Tablet,Yes,200
1036,2023-04-06,39,Female,67000,Skilled,York,Renter,Painting,$500-$1000,Web,Ad,28,2,7,No,,,"Mobile",No,0
1037,2023-04-09,44,Male,72000,Professional,Scarborough,Owner,Roofing,Over $2000,Email,Organic,18,1,8,Yes,9,3,Desktop,Yes,150
1038,2023-04-12,30,Female,53000,Student,North York,Renter,Landscaping,$0-$500,Phone,Other,35,0,,,No,,,"Tablet",No,0
1039,2023-04-15,50,Male,80000,Professional,Etobicoke,Owner,Cleaning,$1000-$2000,Social Media,Referral,23,2,9,Yes,4,5,Mobile,Yes,200
1040,2023-04-18,37,Female,64000,Skilled,Downtown,Renter,Pest Control,$500-$1000,Web,Ad,26,1,7,No,,,"Desktop",No,0
1041,2023-04-20,46,Male,78000,Professional,York,Owner,Plumbing,$1000-$2000,Email,Partner,20,2,8,Yes,6,4,Tablet,Yes,200
1042,2023-04-23,34,Female,61000,Skilled,Scarborough,Renter,Electrical,$500-$1000,Phone,Organic,30,1,7,No,,,"Mobile",Yes,100
1043,2023-04-26,51,Male,82000,Professional,North York,Owner,HVAC,$1000-$2000,Web,Referral,19,2,8,Yes,7,5,Desktop,No,0
1044,2023-04-29,40,Female,68000,Skilled,Etobicoke,Renter,Painting,$500-$1000,Email,Ad,27,1,7,No,,,"Tablet",No,0
1045,2023-05-02,55,Male,88000,Professional,Downtown,Owner,Roofing,Over $2000,Social Media,Partner,16,2,8,Yes,8,4,Mobile,Yes,250
1046,2023-05-05,42,Female,73000,Skilled,York,Renter,Landscaping,$1000-$2000,Phone,Organic,24,2,7,No,,,"Desktop",No,0
1047,2023-05-08,37,Male,67000,Professional,Scarborough,Owner,Cleaning,$500-$1000,Web,Referral,22,1,8,Yes,5,5,Tablet,Yes,150
1048,2023-05-10,49,Female,80000,Professional,North York,Renter,Pest Control,$1000-$2000,Email,Ad,20,1,8,Yes,6,4,Mobile,No,0
1049,2023-05-13,33,Male,55000,Student,Etobicoke,Renter,Plumbing,$0-$500,Social Media,Other,32,0,,,No,,,"Desktop",Yes,75
1050,2023-05-16,47,Female,78000,Professional,Downtown,Owner,Electrical,$500-$1000,Phone,Referral,18,2,8,Yes,5,4,Tablet,Yes,200
