CustomerID,SignupDate,Age,Gender,MonthlySpend,TenureMonths,PaymentMethod,ContractType,SupportCalls,LoginsPerMonth,Churn
39,2020-07-26,76,Male,61.19,13,PayPal,Month-to-month,0,4,No
40,2021-09-23,85,Male,99.85,8,Debit Card,Annual,8,31,Yes
41,2021-01-12,73,Female,65.35,12,Bank Transfer,Two-year,3,8,No
42,2022-06-24,80,Male,52.48,12,Bank Transfer,Two-year,10,27,No
43,2020-05-09,82,Female,85.09,27,PayPal,Annual,9,28,Yes
44,2020-10-10,28,Male,37.44,16,Credit Card,Month-to-month,7,21,No
45,2020-07-04,44,Male,134.61,19,Bank Transfer,Annual,2,9,No
46,2021-10-21,84,Male,70.98,14,Bank Transfer,Annual,9,8,No
47,2022-01-11,65,Female,121.56,11,Bank Transfer,Month-to-month,5,39,No
48,2021-06-24,41,Female,26.2,13,Bank Transfer,Two-year,0,17,No
49,2020-02-08,80,Female,71.43,32,Credit Card,Annual,5,12,No
50,2021-09-07,63,Female,121.21,10,Debit Card,Two-year,4,16,No
51,2022-04-01,61,Male,82.41,18,PayPal,Annual,4,31,No
52,2021-02-26,25,Male,67.17,7,Bank Transfer,Annual,4,10,No
53,2020-02-26,47,Male,137.47,32,Debit Card,Month-to-month,5,49,No
54,2020-11-21,36,Male,105.13,3,Bank Transfer,Month-to-month,2,12,Yes
55,2021-03-22,58,Male,99.12,32,Debit Card,Annual,2,29,No
56,2021-03-03,84,Male,109.42,15,PayPal,Annual,3,30,No
57,2022-08-10,37,Female,65.67,24,Credit Card,Annual,3,24,Yes
58,2020-12-30,52,Male,138.97,14,Credit Card,Two-year,7,2,No
59,2020-05-13,52,Male,84.26,30,PayPal,Two-year,10,49,Yes
60,2020-12-04,52,Male,74.09,12,PayPal,Month-to-month,10,36,No
61,2020-08-06,74,Male,22.46,5,PayPal,Two-year,4,28,No
62,2022-10-29,59,Female,21.14,18,Credit Card,Annual,7,28,No
63,2021-02-25,71,Female,119.07,16,PayPal,Annual,6,36,No
64,2022-03-03,34,Female,79.15,17,PayPal,Two-year,3,1,No
65,2022-11-01,26,Female,141.14,10,Bank Transfer,Two-year,4,37,No
66,2022-05-30,58,Male,128.75,20,Debit Card,Month-to-month,6,7,No
67,2022-11-10,60,Female,143.8,20,PayPal,Month-to-month,7,26,No
68,2020-03-12,20,Male,89.53,18,PayPal,Month-to-month,7,28,No
69,2021-01-12,69,Female,139.51,16,Credit Card,Annual,6,13,No
70,2021-06-14,20,Male,46.87,25,Debit Card,Two-year,1,36,No
71,2022-02-18,27,Male,138.37,28,Credit Card,Month-to-month,9,44,No
72,2021-05-26,58,Male,138.2,22,Bank Transfer,Annual,8,41,No
73,2022-03-06,67,Male,33.31,29,Debit Card,Two-year,6,45,No
74,2021-10-20,69,Male,71.36,12,PayPal,Annual,5,27,No
75,2022-02-03,83,Male,72.27,3,PayPal,Month-to-month,9,17,Yes
76,2021-09-17,66,Female,55.01,15,Credit Card,Two-year,3,9,No
77,2020-02-15,62,Female,33.89,6,Debit Card,Annual,10,3,No
78,2022-09-15,71,Female,75.25,30,Bank Transfer,Month-to-month,2,16,Yes
79,2020-07-11,19,Male,87.06,13,Bank Transfer,Month-to-month,8,36,No
80,2020-01-04,52,Female,92.56,6,Debit Card,Month-to-month,3,22,Yes
81,2021-10-04,28,Male,61.8,8,Bank Transfer,Two-year,1,3,No
82,2021-12-28,35,Female,147.21,2,Debit Card,Two-year,5,3,No
83,2021-01-26,53,Female,129.41,6,Debit Card,Two-year,3,7,No
84,2021-05-10,52,Male,143.18,15,Credit Card,Annual,4,41,No
85,2020-09-01,67,Male,144.13,23,Bank Transfer,Two-year,5,20,No
86,2021-05-17,74,Female,70.18,33,Debit Card,Annual,9,39,No
87,2020-07-03,24,Male,82.54,11,Bank Transfer,Month-to-month,0,36,No
88,2021-06-10,18,Female,111.01,36,Credit Card,Annual,1,13,No
89,2021-04-08,19,Male,105.42,3,Bank Transfer,Annual,2,10,Yes
90,2020-03-30,20,Male,77.58,2,Credit Card,Month-to-month,9,31,No
91,2020-03-16,57,Male,117.89,22,Credit Card,Two-year,6,11,No
92,2021-02-28,77,Male,132.52,4,Bank Transfer,Annual,6,12,No
93,2021-02-02,44,Female,103.34,29,Debit Card,Two-year,5,35,No
94,2020-10-30,85,Female,141.22,31,Credit Card,Month-to-month,5,8,Yes
95,2022-01-27,78,Male,98.03,32,PayPal,Month-to-month,7,11,No
96,2020-03-05,73,Female,106.44,26,Bank Transfer,Annual,2,30,No
97,2020-01-09,46,Male,110.7,23,Debit Card,Annual,1,49,No
98,2021-03-25,78,Male,104.0,34,PayPal,Month-to-month,0,42,No
99,2021-07-15,56,Female,53.93,18,PayPal,Annual,1,26,No
100,2021-07-28,51,Female,56.11,22,Credit Card,Month-to-month,8,41,No
101,2022-11-20,84,Male,85.55,27,Credit Card,Month-to-month,9,47,No
102,2021-10-22,48,Male,142.93,33,Credit Card,Annual,7,48,No
103,2020-10-08,73,Female,121.64,23,Credit Card,Month-to-month,9,12,Yes
104,2021-11-16,33,Female,103.39,27,Bank Transfer,Annual,5,36,No
105,2021-09-05,35,Female,84.96,36,Credit Card,Month-to-month,2,23,Yes
106,2022-09-04,25,Male,137.48,3,PayPal,Annual,1,25,No
107,2022-03-22,39,Female,129.99,3,PayPal,Annual,2,10,No
108,2020-04-04,52,Female,146.4,36,PayPal,Two-year,1,35,Yes
109,2021-09-24,78,Female,71.72,11,Bank Transfer,Annual,7,11,No
110,2020-01-15,65,Female,95.16,27,Credit Card,Two-year,1,28,No
111,2022-02-24,29,Female,94.91,7,PayPal,Annual,5,42,No
112,2022-08-12,54,Female,85.78,6,Bank Transfer,Two-year,9,2,No
113,2022-05-30,29,Male,102.48,17,Debit Card,Month-to-month,9,49,Yes
114,2021-12-10,37,Female,113.59,19,Credit Card,Annual,6,28,No
115,2022-12-13,81,Female,69.21,26,Credit Card,Month-to-month,3,20,No
116,2022-03-04,53,Male,111.18,3,Debit Card,Annual,6,21,No
117,2021-08-27,63,Male,75.51,17,PayPal,Annual,10,39,No
118,2021-07-11,58,Female,57.86,7,Debit Card,Month-to-month,9,48,No
119,2022-06-22,56,Female,97.9,5,Debit Card,Month-to-month,9,17,No
120,2021-07-08,44,Male,81.15,5,Credit Card,Two-year,5,4,No
121,2020-06-10,66,Female,74.62,14,Bank Transfer,Month-to-month,5,23,No
122,2021-10-12,82,Male,127.67,32,Credit Card,Two-year,2,49,No
123,2021-06-10,37,Male,54.62,36,Debit Card,Two-year,4,22,No
124,2021-06-28,62,Female,89.88,14,Credit Card,Month-to-month,8,5,Yes
125,2022-01-15,55,Male,32.14,3,Debit Card,Two-year,8,9,No
126,2021-07-24,61,Male,70.86,7,Credit Card,Two-year,1,48,No
127,2020-12-05,48,Female,58.67,2,Debit Card,Annual,10,16,Yes
128,2020-10-12,84,Male,58.89,24,Debit Card,Annual,5,25,No
129,2020-10-28,25,Male,69.48,9,Bank Transfer,Month-to-month,7,48,No
130,2020-11-19,67,Female,52.13,29,Credit Card,Month-to-month,7,22,No
131,2020-06-24,85,Male,79.19,18,Debit Card,Annual,9,49,No
132,2020-11-07,73,Male,41.52,30,Credit Card,Two-year,10,20,Yes
133,2021-07-13,38,Male,119.67,32,Bank Transfer,Two-year,5,13,No
134,2020-12-23,67,Female,59.51,12,Bank Transfer,Two-year,10,9,No
135,2022-05-30,68,Female,88.97,14,Bank Transfer,Two-year,10,28,No
136,2020-11-19,35,Female,73.74,15,PayPal,Two-year,9,39,No
137,2021-08-05,52,Male,116.73,22,Bank Transfer,Month-to-month,4,19,No
138,2021-01-08,71,Male,119.29,12,Debit Card,Month-to-month,6,43,No
139,2021-11-09,45,Female,112.05,26,Credit Card,Month-to-month,3,22,No
140,2021-12-19,42,Female,96.83,13,Credit Card,Annual,2,38,Yes
141,2020-02-25,39,Female,122.73,34,Debit Card,Month-to-month,6,37,No
142,2020-08-28,27,Male,31.03,25,Bank Transfer,Two-year,4,21,Yes
143,2022-06-13,36,Female,48.66,5,PayPal,Month-to-month,9,6,No
144,2021-05-14,39,Male,141.32,3,Debit Card,Two-year,7,42,No
145,2022-08-10,42,Male,40.61,5,Credit Card,Annual,1,10,No
146,2020-11-06,35,Female,30.84,31,Credit Card,Annual,7,21,No
147,2021-04-21,82,Female,142.95,28,Debit Card,Annual,6,43,No
148,2021-07-23,44,Female,53.4,3,Debit Card,Month-to-month,10,42,No
149,2022-08-05,46,Female,42.31,26,Debit Card,Month-to-month,8,34,No
150,2022-06-02,54,Male,85.09,2,Credit Card,Annual,0,45,No
151,2020-08-03,21,Male,45.16,20,Bank Transfer,Annual,0,34,No
152,2021-06-18,83,Male,60.34,11,Bank Transfer,Month-to-month,2,15,No
153,2022-03-28,76,Female,113.48,2,Credit Card,Two-year,5,36,No
154,2022-10-17,30,Male,146.09,19,Debit Card,Two-year,8,19,No
155,2022-09-30,33,Female,24.86,4,PayPal,Two-year,5,42,Yes
156,2020-01-01,63,Male,122.5,27,Debit Card,Month-to-month,7,23,No
157,2021-08-19,52,Male,71.45,27,PayPal,Month-to-month,6,6,No
158,2022-11-21,20,Male,101.96,26,Credit Card,Two-year,7,16,No
159,2020-04-22,39,Female,128.63,15,PayPal,Month-to-month,2,35,No
160,2021-06-13,64,Female,145.4,19,Credit Card,Two-year,5,4,No
161,2020-09-17,85,Male,72.47,32,Credit Card,Two-year,10,41,No
162,2020-09-16,72,Male,67.49,28,PayPal,Month-to-month,0,40,Yes
163,2021-12-19,44,Female,81.63,2,Bank Transfer,Month-to-month,8,9,Yes
164,2020-09-19,45,Female,93.43,35,PayPal,Annual,1,18,Yes
165,2021-11-21,52,Female,35.09,21,Bank Transfer,Month-to-month,1,8,No
166,2020-07-09,30,Male,59.18,19,PayPal,Annual,1,37,No
167,2020-03-30,52,Male,51.11,29,PayPal,Month-to-month,4,21,No
168,2022-12-01,33,Male,142.78,28,Credit Card,Two-year,1,21,No
169,2022-09-16,64,Male,83.86,5,Debit Card,Month-to-month,7,31,No
170,2020-05-09,30,Male,120.63,24,PayPal,Two-year,0,29,No
171,2022-03-02,27,Male,119.97,31,Debit Card,Annual,0,6,No
172,2020-01-01,21,Female,46.22,20,Debit Card,Two-year,10,36,No
173,2021-12-26,39,Female,91.69,21,Credit Card,Month-to-month,6,14,No
174,2020-01-06,27,Male,54.14,17,Credit Card,Month-to-month,5,25,No
175,2021-09-02,47,Male,145.19,32,Bank Transfer,Month-to-month,8,3,No
176,2021-10-06,25,Male,114.98,31,Bank Transfer,Annual,0,43,Yes
177,2020-01-07,59,Male,110.6,15,Debit Card,Two-year,8,42,No
178,2021-05-07,51,Female,112.46,3,Debit Card,Month-to-month,10,2,No
179,2021-01-11,23,Female,49.09,8,Bank Transfer,Annual,9,12,No
180,2020-08-19,84,Female,44.96,18,PayPal,Month-to-month,9,23,No
181,2020-06-02,61,Female,105.42,16,Bank Transfer,Annual,1,9,No
182,2022-10-19,57,Female,30.41,25,Bank Transfer,Annual,7,37,No
183,2020-02-28,30,Female,32.98,20,PayPal,Month-to-month,2,26,No
184,2022-12-30,60,Male,25.61,6,Credit Card,Month-to-month,2,30,No
185,2022-04-09,67,Male,142.62,1,Credit Card,Two-year,1,47,No
186,2022-07-24,84,Female,30.98,12,Credit Card,Annual,1,33,No
187,2020-11-02,46,Female,71.0,16,Credit Card,Month-to-month,2,2,No
188,2022-01-17,29,Female,71.23,16,PayPal,Two-year,2,1,Yes
189,2022-04-28,82,Female,137.22,35,Credit Card,Month-to-month,4,19,No
190,2022-04-08,20,Female,84.2,19,PayPal,Annual,9,24,No
191,2021-11-21,40,Male,117.39,24,Bank Transfer,Two-year,2,31,No
192,2022-02-01,51,Male,122.79,26,Credit Card,Month-to-month,3,45,No
193,2021-08-13,42,Female,117.48,2,Bank Transfer,Annual,7,8,No
194,2021-01-20,71,Male,47.35,24,Credit Card,Two-year,8,22,No
195,2022-05-26,22,Male,60.97,32,PayPal,Month-to-month,10,20,Yes
196,2021-08-22,75,Male,68.71,29,Bank Transfer,Annual,10,1,No
197,2021-09-26,84,Female,48.09,32,Debit Card,Month-to-month,5,11,No
198,2022-04-23,40,Male,48.99,33,Bank Transfer,Month-to-month,3,22,Yes
199,2021-10-05,71,Female,60.75,24,Bank Transfer,Annual,5,17,No
200,2020-11-21,69,Male,43.27,1,PayPal,Month-to-month,9,24,No
201,2022-06-26,28,Female,51.97,1,Bank Transfer,Two-year,2,40,No
202,2022-04-18,76,Male,23.05,13,Debit Card,Annual,4,28,No
203,2020-11-03,46,Male,138.62,32,Debit Card,Two-year,7,38,No
204,2020-12-15,69,Male,67.34,27,Bank Transfer,Month-to-month,7,39,No
205,2021-05-23,37,Female,104.97,25,Debit Card,Month-to-month,6,4,Yes
206,2022-06-20,72,Female,43.77,11,Credit Card,Annual,5,40,No
207,2022-10-29,69,Female,73.59,35,Bank Transfer,Two-year,3,22,No
208,2020-11-10,72,Male,131.46,9,PayPal,Month-to-month,2,21,No
209,2020-05-26,38,Female,51.42,31,PayPal,Two-year,6,12,No
210,2020-03-18,60,Female,69.65,4,Bank Transfer,Two-year,7,27,No
211,2021-08-24,58,Female,49.81,36,PayPal,Month-to-month,8,33,No
212,2021-04-14,51,Male,35.69,33,Debit Card,Two-year,1,33,No
213,2021-11-20,61,Male,100.69,5,Bank Transfer,Month-to-month,6,18,No
214,2020-11-12,57,Female,134.04,8,Debit Card,Two-year,10,11,No
215,2020-07-23,84,Female,109.89,29,PayPal,Month-to-month,9,38,No
216,2021-05-23,35,Male,35.31,16,Bank Transfer,Annual,6,20,No
217,2022-07-22,30,Female,136.41,20,Debit Card,Annual,5,43,No
218,2020-07-29,68,Male,66.19,14,Debit Card,Two-year,4,34,No
219,2020-11-23,25,Male,46.96,16,Credit Card,Month-to-month,6,11,No
220,2021-03-26,22,Male,37.13,28,PayPal,Month-to-month,10,43,Yes
221,2021-12-14,62,Male,144.7,1,PayPal,Two-year,6,5,No
222,2022-09-11,84,Female,74.87,16,PayPal,Two-year,3,25,No
223,2020-03-02,39,Male,112.51,26,PayPal,Month-to-month,10,36,No
224,2022-01-27,43,Female,102.6,35,Bank Transfer,Annual,6,13,No
225,2021-12-16,35,Male,101.08,1,Debit Card,Month-to-month,0,38,Yes
226,2021-11-07,81,Male,140.71,25,Debit Card,Annual,8,24,Yes
227,2021-06-08,60,Male,108.61,31,Bank Transfer,Annual,5,24,No
228,2021-08-29,73,Female,37.62,12,Debit Card,Two-year,4,33,Yes
229,2021-04-27,39,Male,96.32,18,Bank Transfer,Annual,8,28,Yes
230,2022-06-19,74,Male,44.26,28,PayPal,Annual,5,3,Yes
231,2020-06-15,65,Female,95.27,16,PayPal,Annual,5,41,No
232,2021-07-19,30,Female,93.18,36,Bank Transfer,Two-year,9,41,No
233,2020-02-28,80,Female,139.53,5,Credit Card,Two-year,9,41,No
234,2020-11-03,29,Male,54.27,33,PayPal,Month-to-month,0,48,Yes
235,2022-03-03,25,Female,149.7,20,Debit Card,Annual,7,9,No
236,2022-07-27,19,Male,52.39,4,Debit Card,Two-year,4,26,Yes
237,2021-03-20,57,Female,91.13,12,Debit Card,Annual,0,44,Yes
238,2021-10-25,78,Male,100.58,3,Debit Card,Annual,5,41,Yes
239,2020-06-20,78,Male,55.7,32,PayPal,Two-year,1,15,Yes
240,2021-12-01,50,Female,36.64,18,Bank Transfer,Two-year,6,24,No
241,2020-03-12,67,Male,135.62,23,Bank Transfer,Month-to-month,7,13,No
242,2021-12-25,53,Male,146.46,32,Credit Card,Two-year,8,41,No
243,2020-10-12,76,Male,122.83,27,Debit Card,Two-year,6,25,No
244,2022-10-18,30,Male,63.73,24,Bank Transfer,Annual,1,18,No
245,2020-02-02,69,Female,99.85,24,Debit Card,Annual,6,26,No
246,2020-09-11,48,Male,62.37,13,PayPal,Annual,5,29,Yes
247,2021-04-21,33,Female,53.93,25,Bank Transfer,Month-to-month,5,43,No
248,2020-04-12,55,Female,89.78,18,Credit Card,Annual,8,29,No
249,2021-05-24,30,Male,38.92,2,Debit Card,Annual,4,35,No
250,2022-08-04,40,Male,103.11,18,Bank Transfer,Month-to-month,9,7,No
251,2020-02-17,58,Male,91.46,10,PayPal,Two-year,3,6,Yes
252,2022-10-23,29,Male,89.49,14,PayPal,Annual,7,17,No
253,2020-08-17,52,Female,53.39,27,Credit Card,Annual,2,44,Yes
254,2022-01-15,48,Female,91.82,5,Credit Card,Month-to-month,1,27,No
255,2021-07-30,24,Male,139.28,27,Credit Card,Month-to-month,9,43,No
256,2022-11-06,47,Male,93.73,15,PayPal,Two-year,4,15,No
257,2020-04-30,61,Male,141.62,9,Bank Transfer,Two-year,7,49,No
258,2020-10-23,77,Female,56.61,15,Debit Card,Two-year,5,19,No
259,2020-11-30,78,Male,85.66,28,PayPal,Month-to-month,10,13,No
260,2022-03-06,22,Male,143.8,3,Credit Card,Month-to-month,7,49,Yes
261,2021-05-01,40,Female,23.2,32,Bank Transfer,Month-to-month,1,49,No
262,2022-05-02,22,Male,92.29,30,PayPal,Two-year,1,34,No
263,2020-09-16,80,Male,88.99,24,Credit Card,Annual,8,20,No
264,2022-09-20,84,Male,114.53,2,Bank Transfer,Month-to-month,9,26,No
265,2021-08-02,79,Female,48.92,25,Credit Card,Month-to-month,8,37,No
266,2020-02-03,71,Male,85.9,22,Credit Card,Annual,2,12,No
267,2022-04-28,75,Male,121.08,33,Credit Card,Two-year,3,14,No
268,2021-01-03,41,Female,63.31,35,Credit Card,Two-year,10,39,No
269,2022-03-14,66,Female,82.76,9,PayPal,Month-to-month,9,14,Yes
270,2021-03-20,74,Female,69.66,18,Bank Transfer,Annual,0,16,No
271,2020-11-28,77,Male,130.37,32,PayPal,Month-to-month,7,44,No
272,2021-11-18,81,Male,73.61,34,Credit Card,Annual,10,17,No
273,2020-05-13,25,Female,129.39,15,Bank Transfer,Two-year,7,29,Yes
274,2020-07-23,50,Female,55.63,17,PayPal,Month-to-month,6,40,No
275,2022-12-25,73,Male,20.89,6,Credit Card,Annual,0,6,No
276,2021-03-30,82,Male,50.42,13,Credit Card,Annual,8,3,No
277,2020-10-03,59,Male,27.6,16,Debit Card,Month-to-month,3,5,No
278,2021-12-12,58,Male,148.38,3,Debit Card,Month-to-month,10,20,No
279,2022-05-21,39,Male,68.91,35,Credit Card,Two-year,2,26,No
280,2022-05-29,56,Male,143.13,29,PayPal,Annual,10,35,Yes
281,2021-08-09,73,Male,78.27,7,Credit Card,Month-to-month,0,38,Yes
282,2022-08-13,28,Male,83.05,12,Credit Card,Two-year,1,45,No
283,2021-11-15,62,Female,69.15,23,Debit Card,Annual,4,11,No
284,2022-04-02,75,Male,135.92,24,PayPal,Annual,5,13,Yes
285,2020-10-24,32,Female,95.32,26,Credit Card,Month-to-month,4,43,No
286,2020-08-05,64,Female,86.05,13,Bank Transfer,Two-year,9,33,No
287,2020-03-20,18,Female,67.98,1,Bank Transfer,Month-to-month,7,46,Yes
288,2022-12-11,34,Male,138.08,30,Credit Card,Annual,1,43,Yes
289,2022-03-03,19,Male,75.4,12,Bank Transfer,Month-to-month,10,14,No
290,2021-07-30,72,Female,80.76,7,Debit Card,Annual,3,3,No
291,2020-10-01,18,Male,28.94,20,Debit Card,Two-year,3,33,Yes
292,2022-08-06,34,Male,146.61,21,Credit Card,Month-to-month,8,26,No
293,2022-01-14,24,Male,80.08,2,PayPal,Annual,5,22,No
294,2021-11-24,38,Female,24.61,2,Credit Card,Annual,10,1,Yes
295,2022-03-01,67,Male,142.49,12,Credit Card,Annual,7,50,No
296,2021-07-28,36,Male,76.77,25,PayPal,Two-year,6,25,No
297,2022-06-20,73,Male,109.33,8,Credit Card,Month-to-month,6,35,Yes
298,2021-08-09,60,Male,109.1,13,Credit Card,Month-to-month,8,20,No
299,2022-06-28,39,Male,149.66,15,Debit Card,Two-year,4,39,Yes
300,2022-03-15,39,Male,106.81,36,PayPal,Annual,4,41,No
301,2020-11-25,57,Male,74.65,21,Credit Card,Month-to-month,5,12,No
302,2021-02-21,79,Male,87.58,2,Credit Card,Month-to-month,10,11,Yes
303,2021-03-04,28,Male,141.46,22,Bank Transfer,Annual,5,42,No
304,2022-07-29,73,Male,86.22,17,Credit Card,Annual,3,6,No
305,2022-09-16,63,Male,112.97,9,Credit Card,Two-year,4,34,No
306,2022-02-04,85,Female,121.04,6,Credit Card,Two-year,1,5,No
307,2022-01-21,20,Male,34.59,32,Bank Transfer,Annual,7,40,No
308,2022-07-11,60,Male,86.7,27,Credit Card,Annual,7,25,No
309,2022-07-04,73,Female,54.78,5,Bank Transfer,Annual,4,30,No
310,2022-10-20,67,Female,113.86,18,Bank Transfer,Two-year,3,24,No
311,2022-06-22,37,Male,82.52,2,Debit Card,Two-year,5,22,Yes
312,2021-02-02,19,Female,61.99,7,Debit Card,Annual,5,29,No
313,2020-08-05,41,Male,77.51,30,Credit Card,Annual,6,1,No
314,2020-04-10,78,Male,129.35,36,Credit Card,Two-year,9,16,No
315,2022-12-19,29,Female,70.03,19,Credit Card,Month-to-month,7,34,Yes
316,2021-11-20,38,Female,20.36,34,Bank Transfer,Annual,9,38,No
317,2021-10-28,68,Male,88.51,17,Credit Card,Two-year,8,49,Yes
318,2022-06-12,62,Male,39.89,34,Debit Card,Annual,4,12,Yes
319,2021-07-15,41,Female,35.01,26,Bank Transfer,Month-to-month,7,14,No
320,2021-12-24,48,Female,98.55,19,PayPal,Annual,8,45,No
321,2021-09-10,81,Female,121.6,27,PayPal,Month-to-month,4,13,No
322,2020-12-19,21,Male,104.57,15,Debit Card,Annual,2,32,No
323,2022-03-01,72,Female,141.39,23,PayPal,Two-year,9,45,No
324,2022-10-30,56,Male,62.33,36,Credit Card,Two-year,4,22,Yes
325,2021-12-06,52,Female,45.61,16,Bank Transfer,Two-year,2,9,No
326,2022-07-14,57,Female,118.61,33,Bank Transfer,Month-to-month,10,41,No
327,2021-06-13,20,Male,59.75,26,Credit Card,Month-to-month,7,11,No
328,2021-02-19,21,Male,114.59,9,Bank Transfer,Month-to-month,4,46,No
329,2020-09-08,42,Male,59.83,11,PayPal,Annual,10,31,Yes
330,2020-06-18,24,Male,134.07,16,Debit Card,Annual,4,38,No
331,2022-06-03,50,Male,70.33,22,Debit Card,Month-to-month,2,25,Yes
332,2020-03-17,29,Male,37.13,10,Credit Card,Annual,1,26,Yes
333,2020-01-25,51,Female,39.23,29,Credit Card,Two-year,0,20,No
334,2020-07-25,62,Female,30.03,20,Bank Transfer,Annual,9,5,No
335,2020-01-01,31,Male,106.09,8,PayPal,Month-to-month,7,9,Yes
336,2022-02-17,25,Female,143.0,28,Debit Card,Annual,0,10,No
337,2022-08-25,25,Male,81.57,33,PayPal,Two-year,7,1,No
338,2021-07-03,30,Male,104.45,7,Bank Transfer,Annual,9,19,No
339,2021-03-24,73,Female,100.93,22,PayPal,Annual,10,21,Yes
340,2022-11-25,53,Male,88.43,35,Credit Card,Month-to-month,10,8,No
341,2020-12-05,66,Female,144.48,23,Credit Card,Month-to-month,4,44,Yes
342,2020-12-25,18,Female,59.56,24,PayPal,Two-year,0,17,No
343,2021-11-24,34,Male,94.87,36,Credit Card,Month-to-month,8,13,Yes
344,2021-05-27,53,Female,114.29,19,Bank Transfer,Two-year,7,44,No
345,2020-01-26,85,Female,135.25,23,Credit Card,Two-year,0,28,No
346,2020-08-03,75,Male,24.92,1,Debit Card,Annual,6,10,No
347,2020-08-28,25,Male,149.48,5,Bank Transfer,Annual,6,4,Yes
348,2021-12-28,45,Female,84.64,21,PayPal,Annual,2,42,No
349,2022-08-27,72,Male,149.6,33,Credit Card,Two-year,8,24,No
350,2022-09-03,30,Male,126.91,13,Bank Transfer,Annual,8,48,No
351,2021-06-12,78,Male,37.13,7,Bank Transfer,Two-year,4,22,No
352,2020-12-07,60,Male,96.78,14,Debit Card,Month-to-month,4,42,No
353,2020-03-24,49,Male,98.92,6,PayPal,Month-to-month,8,32,Yes
354,2021-03-04,43,Female,63.74,22,Credit Card,Two-year,7,7,Yes
355,2021-05-26,60,Male,122.68,25,Debit Card,Annual,0,7,No
356,2020-07-30,34,Male,103.31,10,Credit Card,Month-to-month,6,27,No
357,2020-11-06,47,Female,48.8,30,PayPal,Annual,9,21,No
358,2022-11-18,57,Male,80.3,9,Debit Card,Two-year,7,8,No
359,2022-04-11,48,Female,58.99,31,Credit Card,Month-to-month,0,23,No
360,2021-11-06,74,Female,79.74,26,Credit Card,Annual,4,41,No
361,2020-12-19,29,Female,21.99,8,Debit Card,Month-to-month,5,10,Yes
362,2020-07-06,46,Female,124.55,32,Debit Card,Two-year,4,19,No
363,2020-08-17,77,Male,128.53,34,Debit Card,Month-to-month,0,16,No
364,2021-04-15,22,Female,88.96,30,PayPal,Annual,1,44,No
